UMAP1,UMAP2,UMAP3,UMAP4,UMAP5,UMAP6,UMAP7,UMAP8,UMAP9,UMAP10,UMAP11,UMAP12,UMAP13,UMAP14,UMAP15,UMAP16,UMAP17,UMAP18,UMAP19,UMAP20,Spectral_Cluster
12.720744,8.127543,4.4549875,5.505098,5.078869,5.121737,5.0661993,5.3465676,4.1959453,4.925827,6.3713284,4.9701624,4.927826,5.6644783,2.595415,2.6314423,4.9264407,4.787743,2.594694,3.5064628,4
-4.7427588,4.2907085,3.2732582,2.010836,5.619793,5.359698,3.3350596,5.7797823,5.638535,4.0388412,8.231694,1.6076455,7.277392,8.737365,5.4382358,4.287905,3.524498,1.7936723,4.607554,4.657579,2
12.875064,10.7444315,4.5118704,6.394674,4.8082337,5.4252605,5.4209633,4.849893,3.649104,5.0016294,6.266,4.35159,4.8723288,5.977132,2.132101,2.0342538,4.7334523,3.9855206,1.7725469,3.2951462,3
12.888981,11.105975,4.413108,6.478576,5.0029187,5.3342576,5.1258273,4.9906173,3.7741876,5.0349207,6.723753,4.4970226,4.5494456,5.607331,2.1915417,2.0612683,4.7988086,4.1143646,1.6009443,3.5569916,3
12.954965,10.547939,4.610936,5.4264755,4.5132475,6.2108397,5.3984714,6.133444,5.6997433,4.690719,6.1452928,4.4903784,5.5999475,6.4499846,2.6799555,2.8175085,4.3683267,3.9770184,2.3617873,3.3112004,0
12.912668,10.829631,4.642587,5.4623075,4.7932854,5.9103646,5.2233815,5.808052,5.24083,4.8517413,6.4364424,4.4429927,5.3228188,6.0787024,2.8025928,2.8581076,4.5258493,4.1236453,2.533297,3.7173288,0
12.881191,9.656512,4.0373025,6.4937444,4.6418986,5.7729125,5.0490274,5.9525323,4.923289,4.7158556,6.6958923,4.9820824,4.612399,5.8393965,1.9535718,1.9371687,4.634192,4.218228,0.9340531,2.9181738,0
12.897677,10.777075,4.607246,5.5729265,4.8173237,5.8792534,5.1804895,5.7535095,5.1695957,4.853176,6.503601,4.444506,5.2236667,6.0620313,2.7573938,2.7915657,4.5688496,4.177523,2.4228358,3.7481422,0
12.8483715,10.295635,4.2098713,6.711507,4.8634295,5.2837076,5.2042565,5.033145,3.6083078,4.98367,6.652023,4.7170324,4.5022817,5.581636,1.902383,1.785344,4.825987,4.1238985,1.2053424,3.1275113,3
12.775539,7.702529,4.3431253,5.8051505,5.008239,4.928171,5.155068,5.256383,3.7632809,4.8739805,6.183828,5.2271647,4.831341,5.605393,2.201663,2.2493775,4.924696,4.7194037,2.1619573,2.9767163,4
12.861975,11.463703,4.6877713,5.7153277,4.3510995,6.5120897,5.586439,5.7578664,5.569755,4.8111362,6.124312,3.8180346,5.6351805,6.800055,2.7186267,2.7391703,4.3491282,3.7209218,2.2904503,3.6265106,0
12.813792,9.829437,4.088354,6.7104983,4.9071283,5.3119407,5.015619,5.2836337,3.915844,4.929958,6.837169,4.871513,4.3301597,5.5104527,1.913738,1.801556,4.866277,4.31735,1.0483805,3.1724374,3
12.782888,10.877107,4.2642536,6.939006,4.6004677,5.558988,5.4962015,4.734794,3.446143,5.0261984,6.3918743,4.198961,4.694771,6.045203,1.8182148,1.6546258,4.7667637,3.8379793,1.1143883,3.1285179,3
-4.98642,4.3672256,3.352144,2.0600886,5.427134,5.255355,3.3058643,5.793303,5.55407,4.1572356,8.24021,1.3482928,7.207526,8.655794,5.6124473,4.171713,3.2505789,1.3220958,4.293368,4.9740624,2
12.980386,10.2917,4.1593695,6.5965757,4.4459133,5.965549,5.3062487,5.874957,4.9080186,4.666519,6.34006,4.760215,4.8477755,6.2079864,1.8204939,1.8133627,4.4727097,3.8914073,0.83951604,2.6861012,0
